user_id,first_name,last_name,gender,birthday,country,preferred_tour_type,budget
1,Любовь,Денисова,ж,1962-09-20,Россия,Экскурсионный,350000
2,Феврония,Савельева,м,1997-04-04,Россия,Активный,330000
3,Родион,Рожкова,ж,1971-11-16,Беларусь,Экскурсионный,380000
4,Радован,Дьячкова,ж,2000-04-18,Россия,Семейный,980000
5,Любомир,Туров,ж,1986-03-08,Беларусь,Семейный,800000
6,Фока,Панова,ж,2010-01-05,Беларусь,Экскурсионный,680000
7,Евсей,Ершова,м,2007-10-19,Россия,Семейный,550000
8,Милий,Исаева,м,1959-09-03,Россия,Семейный,770000
9,Мефодий,Щукина,ж,1957-07-30,Беларусь,Активный,300000
10,Ладислав,Панфилова,ж,1977-07-14,Беларусь,Пляжный,670000
11,Давыд,Капустин,м,2009-09-28,Беларусь,Экскурсионный,400000
12,Анна,Михеев,м,2009-11-22,Беларусь,Активный,860000
13,Святослав,Кулагина,м,1964-06-14,Беларусь,Пляжный,910000
14,Михаил,Никонова,ж,1950-06-27,Россия,Экскурсионный,890000
15,Адриан,Селиверстова,ж,1968-12-04,Россия,Экскурсионный,230000
16,Савелий,Новиков,м,1995-04-13,Беларусь,Экскурсионный,750000
17,Евстигней,Орлов,м,1946-06-03,Беларусь,Экскурсионный,850000
18,Амос,Петухова,м,1966-07-01,Беларусь,Активный,270000
19,Пелагея,Мельникова,ж,1965-11-11,Беларусь,Семейный,320000
20,Всеволод,Карпова,м,2008-07-16,Беларусь,Активный,310000
21,Евдокия,Филатова,м,1978-06-23,Россия,Семейный,460000
22,Афанасий,Панов,ж,1964-06-14,Россия,Активный,860000
23,Александра,Исакова,ж,1973-05-23,Россия,Семейный,500000
24,Алевтина,Гуляева,м,1954-03-23,Беларусь,Активный,120000
25,Лев,Денисова,ж,1977-04-01,Россия,Активный,200000
26,Октябрина,Кузьмин,м,1957-07-04,Россия,Экскурсионный,740000
27,Ладислав,Веселов,м,2003-09-10,Россия,Экскурсионный,840000
28,Демьян,Третьяков,ж,1997-05-10,Беларусь,Пляжный,600000
29,Мина,Рыбакова,ж,2008-09-08,Россия,Семейный,570000
30,Михей,Константинова,м,1963-05-27,Россия,Пляжный,310000
31,Фрол,Савельев,ж,1992-07-08,Беларусь,Активный,970000
32,Анастасия,Кондратьев,ж,1993-12-16,Беларусь,Активный,380000
33,Харитон,Кулаков,ж,1953-02-13,Беларусь,Активный,480000
34,Алина,Авдеева,м,1982-02-23,Беларусь,Активный,270000
35,Аверкий,Рожкова,ж,1981-12-22,Россия,Активный,170000
36,Тихон,Соколов,ж,2002-03-10,Россия,Активный,410000
37,Тимофей,Федосеева,м,2005-11-28,Беларусь,Экскурсионный,570000
38,Фаина,Егорова,м,1961-08-11,Беларусь,Экскурсионный,570000
39,Бронислав,Шубин,м,1999-05-26,Россия,Активный,830000
40,Святополк,Денисов,ж,1954-02-01,Беларусь,Семейный,450000
41,Арсений,Быкова,м,1977-08-28,Россия,Активный,540000
42,Назар,Мясников,ж,2001-10-17,Россия,Экскурсионный,250000
43,Иларион,Комаров,м,1989-10-26,Россия,Пляжный,80000
44,Арефий,Филатов,м,2000-05-09,Россия,Семейный,590000
45,Кузьма,Авдеева,ж,1966-05-01,Беларусь,Пляжный,320000
46,Викентий,Наумов,м,1999-04-28,Беларусь,Экскурсионный,760000
47,Степан,Комиссарова,м,1994-06-02,Россия,Семейный,720000
48,Жанна,Беляев,м,1969-03-20,Беларусь,Семейный,170000
49,Антип,Субботина,м,1995-04-14,Россия,Активный,260000
50,Осип,Афанасьева,м,1987-03-29,Россия,Экскурсионный,950000
51,Нинель,Большаков,ж,1957-03-14,Россия,Экскурсионный,160000
52,Антонина,Романова,ж,1959-11-28,Россия,Пляжный,120000
53,Степан,Гурьева,м,1949-08-27,Россия,Семейный,690000
54,Савватий,Власова,ж,1966-10-18,Беларусь,Семейный,430000
55,Мстислав,Суворова,ж,1995-04-17,Беларусь,Семейный,50000
56,Эдуард,Быков,м,1990-11-09,Беларусь,Пляжный,750000
57,Яков,Яковлева,ж,1954-08-12,Россия,Экскурсионный,500000
58,Авксентий,Дмитриева,м,2006-10-27,Россия,Семейный,380000
59,Валентина,Жукова,м,1957-08-14,Россия,Активный,130000
60,Майя,Красильникова,м,1969-07-03,Беларусь,Пляжный,340000
61,Аркадий,Ефремова,м,1958-05-16,Россия,Активный,70000
62,Самуил,Маркова,м,1998-10-21,Россия,Пляжный,440000
63,Полина,Давыдов,м,1995-05-16,Россия,Активный,500000
64,Панкрат,Кошелев,м,1946-08-29,Беларусь,Пляжный,380000
65,Аникей,Уварова,м,1967-12-07,Россия,Пляжный,960000
66,Галактион,Брагин,ж,1995-09-02,Россия,Активный,760000
67,Адам,Костин,ж,1970-11-19,Россия,Экскурсионный,600000
68,Амос,Шаров,м,2001-10-18,Беларусь,Активный,920000
69,Егор,Мельникова,м,2002-02-21,Беларусь,Экскурсионный,170000
70,Святополк,Сергеева,ж,1978-09-15,Россия,Активный,730000
71,Любовь,Дьячков,м,2007-12-26,Россия,Семейный,670000
72,Конон,Кабанова,м,1990-06-04,Россия,Экскурсионный,890000
73,Антип,Рожков,м,1985-04-17,Россия,Экскурсионный,900000
74,Нина,Сергеев,м,1972-01-30,Беларусь,Экскурсионный,150000
75,Зоя,Власов,м,1948-10-01,Россия,Пляжный,660000
76,Пимен,Фокин,ж,1948-04-25,Россия,Семейный,440000
77,Мокей,Быков,ж,1995-06-13,Россия,Активный,960000
78,Константин,Казакова,ж,1993-03-23,Беларусь,Семейный,920000
79,Тит,Орехов,м,1962-09-20,Россия,Активный,900000
80,Доброслав,Белякова,м,1969-12-30,Россия,Активный,410000
81,Алла,Антонов,ж,1991-12-07,Россия,Экскурсионный,10000
82,Евстигней,Филиппова,ж,2009-12-27,Беларусь,Пляжный,40000
83,Игорь,Тетерин,ж,1952-04-10,Беларусь,Семейный,160000
84,Олимпиада,Романов,м,2000-09-06,Беларусь,Семейный,530000
85,Родион,Тимофеев,м,2006-10-27,Беларусь,Экскурсионный,30000
86,Глафира,Крылов,ж,1997-08-31,Россия,Активный,280000
87,Ульяна,Сидоров,ж,1949-06-06,Россия,Семейный,310000
88,Василиса,Панфилова,м,1982-02-17,Беларусь,Активный,390000
89,Аполлинарий,Шашкова,ж,1953-03-07,Россия,Экскурсионный,260000
90,Валерия,Калинина,ж,2001-09-24,Беларусь,Пляжный,770000
91,Ратибор,Титова,ж,1995-05-02,Беларусь,Пляжный,440000
92,Илья,Суворов,ж,1969-05-14,Россия,Пляжный,950000
93,Леонид,Галкин,ж,1961-09-16,Беларусь,Экскурсионный,140000
94,Синклитикия,Зиновьев,ж,1946-08-26,Россия,Семейный,180000
95,Эрнст,Васильева,ж,1969-07-18,Беларусь,Семейный,650000
96,Сигизмунд,Жуков,ж,1997-04-02,Россия,Экскурсионный,380000
97,Илья,Михайлова,ж,1977-12-28,Россия,Активный,320000
98,Фёкла,Гущин,м,1998-12-08,Россия,Экскурсионный,450000
99,Андрей,Блинов,м,1970-08-29,Беларусь,Экскурсионный,960000
100,Артем,Мухина,м,1995-10-15,Россия,Экскурсионный,90000
101,Максимильян,Владимиров,ж,1995-01-12,Беларусь,Активный,420000
102,Олег,Орехов,м,1997-03-04,Россия,Семейный,930000
103,Федот,Муравьев,м,1989-05-12,Беларусь,Пляжный,390000
104,Владимир,Ларионова,м,1955-02-12,Беларусь,Экскурсионный,790000
105,Галактион,Матвеева,м,1970-04-07,Россия,Семейный,980000
106,Наталья,Киселев,ж,2010-02-20,Россия,Семейный,180000
107,Борис,Савельев,м,1966-04-27,Беларусь,Активный,400000
108,Ангелина,Киселев,м,1980-06-26,Беларусь,Экскурсионный,50000
109,Станимир,Овчинникова,м,1969-05-09,Россия,Пляжный,160000
110,Измаил,Ильин,м,1978-07-03,Беларусь,Экскурсионный,270000
111,Герасим,Матвеева,м,1946-12-18,Россия,Экскурсионный,200000
112,Людмила,Артемьев,м,1985-01-14,Россия,Семейный,250000
113,Амос,Быкова,ж,1959-07-04,Беларусь,Экскурсионный,890000
114,Кузьма,Самойлова,ж,1959-02-06,Беларусь,Экскурсионный,630000
115,Гурий,Шашков,ж,1947-04-27,Россия,Активный,430000
116,Савва,Русаков,м,1990-01-09,Беларусь,Активный,490000
117,Спиридон,Дорофеев,ж,1946-08-27,Беларусь,Экскурсионный,800000
118,Ираида,Воронцова,ж,1982-03-16,Россия,Пляжный,600000
119,Михей,Фокина,м,1975-07-23,Беларусь,Активный,480000
120,Тарас,Никонова,ж,1995-07-09,Россия,Пляжный,510000
121,Эраст,Богданов,м,1956-10-06,Беларусь,Семейный,670000
122,Илья,Кошелева,ж,1949-12-27,Россия,Экскурсионный,90000
123,Трифон,Белоусова,м,1992-12-10,Беларусь,Семейный,20000
124,Мефодий,Стрелков,м,1950-04-21,Беларусь,Активный,960000
125,Варфоломей,Ершова,м,1945-08-31,Россия,Экскурсионный,610000
126,Сигизмунд,Носова,ж,1954-10-02,Беларусь,Активный,360000
127,Агата,Бирюкова,ж,1962-09-15,Беларусь,Пляжный,770000
128,Пахом,Русаков,м,1947-12-06,Россия,Пляжный,230000
129,Орест,Егоров,м,1992-10-19,Беларусь,Экскурсионный,140000
130,Василиса,Брагин,м,2010-05-23,Беларусь,Семейный,830000
131,Прасковья,Кудряшов,м,1989-11-18,Россия,Семейный,970000
132,Вячеслав,Щукин,м,1978-06-02,Россия,Экскурсионный,400000
133,Боян,Комиссарова,м,1959-12-08,Россия,Семейный,930000
134,Наркис,Моисеев,ж,1975-05-10,Беларусь,Пляжный,280000
135,Трофим,Анисимов,ж,2004-10-07,Беларусь,Активный,370000
136,Елизавета,Тихонова,ж,1957-11-19,Беларусь,Экскурсионный,230000
137,Агафья,Шубина,м,1947-01-25,Россия,Пляжный,150000
